sku_producto,nombre_producto,descripcion,descripcion,Monto,cantidad,Promedio de altura,Promedio de ancho,costo_entrega,is_active,Promedio de precio_amazon,Promedio de stock
19654813027,"HP P24v G5 monitor de computadora 60.5 cm (23.8"") 1920 x 1080 Pixeles Full HD Negro",Monitores,Electrónicos,7005.08,4,30.80952381,16.95238095,247.98,TRUE,620.6067839,20
19710553361,Laptop Asus Vivobook X1404ZA-NK090W Intel Core I7 12va 16GB 512GB Azul,Laptops,Electrónicos,8752.7,1,29.53034884,26.50947674,41449.02,TRUE,762.5665509,10
46112767592,Bocina Inteligente Alexa Alexa Echo Blanca B09B94RL1R,Bocinas,Electrónicos,54203.23,65,20.41518325,16.77853403,11971.2,TRUE,0,30
46119119318,"Freidora de Aire, Panel de control programable, Capacidad de 4 Cuartos, AF101",Freidoras de aire,Enseres Menores,7178.09,3,25.66666667,22.83333333,352.05,TRUE,0,46
46120393067,Autoestereo Vak 1703 Motorizado 7 Mp5 Bluetooth Usb Mirrorlink Sd,Audio para autos,Electrónicos,61743.4,30,17.29411765,16.62941176,603.18,TRUE,0,26
46136811366,Bocina Inteligente Alexa Echo Alexa Azul B09B93ZDG4,Bocinas,Electrónicos,76052.86,92,20.41518325,16.77853403,11971.2,TRUE,0,30
46158078571,Honor 10 Lite RAM 4GB/ 64GB Rojo,Celulares,Electrónicos,3050.67,1,21.33904453,21.57153846,36768.05,TRUE,1025.333147,10
46165612145,Drone Vak 965 Doble Camara 4k,Drones,Juguetes,11439.83,9,,,0,TRUE,0,0
46177485649,Olla de Presión Express 6 L Ekco Aluminio Ekco 6 Litros,Baterías de cocina,Hogar,2625.08,4,24.76086957,26.73913043,732.15,TRUE,0,103
46263748270,Bocina Inteligente Alexa Echo Dot 5ta Alexa Negra B09B8V1LZ3,Bocinas,Electrónicos,62811.39,76,20.41518325,16.77853403,11971.2,TRUE,0,30
46353427636,Mochila Transportadora Perro Gato Bolsa Beige Mascota + Cepillo De Dientes.,Transportadoras,Mascotas,2117,4,35,21.5,319.36,TRUE,0,2
46398034929,Carriola Travel System D´Bebe Star Baby Negro,Bebés,Hogar,2554.27,1,20.22222222,20.22222222,912.33,TRUE,0,10
46507558341,DRONE VAK K3 HOVER,Drones,Juguetes,2260.81,3,,,0,FALSE,0,0
46711709369,Consola Xbox Series S Digital 512GB,Consolas,Electrónicos,139702.29,27,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
61419899138,Audífonos Bluetooth Niños Mario Switch Tws,Audífonos y Micrófonos,Electrónicos,743.14,2,13.566,19.076,551,FALSE,0,0
61788502436,Control Alámbrico Power A para Nintendo Switch Mario Silver,Consolas,Electrónicos,824.17,1,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
61788502449,Control Alámbrico Nintendo Switch Mario White,Consolas,Electrónicos,860.67,1,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
61788502462,Control Alámbrico Nintendo Switch Mario Punch,Consolas,Electrónicos,2231.61,3,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
62235653752,Extractor De Nutrientes Nutri Ninja Bl480,Licuadoras,Enseres Menores,1517.67,1,21.49820896,14.46402985,933.72,TRUE,2417.115702,112
62235655913,Freidora de aire Ninja Foodi AF161 7 en 1,Freidoras de aire,Enseres Menores,43858.4,18,25.66666667,22.83333333,352.05,TRUE,0,46
